"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value"
"C67",8.10982658959538,170,"C",10,1609,8437,1118,5.244,"MILT","1.25",752,7685,6.87388193202147,"EXP 3",84.759912632909,89.4706395973511
"C67",8.10982658959538,171,"D",10,1408,2223,659,1.579,"MILT","2.5",483,1740,2.64036418816388,"EXP 3",32.5575912011654,59.2522304935905
"C67",8.10982658959538,172,"E",10,1068,1448,505,1.356,"MILT","5",723,725,1.43564356435644,"EXP 3",17.7025186481585,35.0227147143661
"C67",8.10982658959538,173,"F",10,1316,2299,694,1.747,"MILT","10",1340,959,1.38184438040346,"EXP 3",17.0391359807412,25.4647011757812
"C67",8.10982658959538,174,"G",10,1263,2645,735,2.094,"MILT","20",1501,1144,1.55646258503401,"EXP 3",19.1923041490295,22.8733804614989
"C73",6.88643067846608,127,"G",3,1443,1530,634,1.06,"MILT","20",1501,29,0.0457413249211356,"EXP 3",0.664223994357034,16.103799199948
"C73",6.88643067846608,128,"F",3,1745,1714,615,0.9822,"MILT","10",1340,374,0.608130081300813,"EXP 3",8.83084590109126,22.7637102041411
"C73",6.88643067846608,129,"E",3,1661,2870,876,1.728,"MILT","5",723,2147,2.45091324200913,"EXP 3",35.5904728653285,34.7509562123748
"C73",6.88643067846608,130,"D",3,1940,2889,869,1.489,"MILT","2.5",483,2406,2.7686996547756,"EXP 3",40.205148124606,43.537272268328
"C73",6.88643067846608,131,"C",3,2087,13946,1500,6.682,"MILT","1.25",752,13194,8.796,"EXP 3",127.729449560934,99.8575087135984
"C73",6.88643067846608,132,"B",3,1993,10117,1356,5.076,"MILT","0",779,9338,6.88643067846608,"EXP 3",100,100
"C85",11.4239669421488,151,"G",7,1149,1980,625,1.723,"MILT","20",1501,479,0.7664,"EXP 3",6.7087028864935,18.1930279349061
"C85",11.4239669421488,152,"F",7,1400,3199,792,2.285,"MILT","10",1340,1859,2.34722222222222,"EXP 3",20.5464724653757,26.5162360207925
"C85",11.4239669421488,153,"E",7,1166,2034,645,1.744,"MILT","5",723,1311,2.03255813953488,"EXP 3",17.7920520063459,24.6084908673419
"C85",11.4239669421488,154,"D",7,1602,6883,925,4.297,"MILT","2.5",483,6400,6.91891891891892,"EXP 3",60.5649417050703,57.0025201769423
"C85",11.4239669421488,155,"C",7,1987,16384,1352,8.246,"MILT","1.25",752,15632,11.5621301775148,"EXP 3",101.209415573992,104.232149116394
"C85",11.4239669421488,156,"B",7,1647,14602,1210,8.866,"MILT","0",779,13823,11.4239669421488,"EXP 3",100,100
"REF",5.56120331950207,145,"B",6,1552,6140,964,3.956,"MILT","0",779,5361,5.56120331950207,"EXP 3",100,100
"REF",5.56120331950207,146,"C",6,1911,3877,962,2.029,"MILT","1.25",752,3125,3.24844074844075,"EXP 3",58.4125514175879,76.2442942287075
"REF",5.56120331950207,147,"D",6,1412,1161,532,0.8222,"MILT","2.5",483,678,1.27443609022556,"EXP 3",22.9165527136251,38.5606492279178
"REF",5.56120331950207,148,"E",6,1211,848,419,0.7002,"MILT","5",723,125,0.298329355608592,"EXP 3",5.3644748891379,26.2275949699261
"REF",5.56120331950207,149,"F",6,1504,1690,721,1.124,"MILT","10",1340,350,0.485436893203884,"EXP 3",8.72899020795644,26.1357883018365
"REF",5.56120331950207,150,"G",6,1695,1915,821,1.13,"MILT","20",1501,414,0.504263093788063,"EXP 3",9.06751767229422,18.4566377661762
"C44",10.8137869292748,235,"G",11,347,973,225,2.804,"MILT","20",209,764,3.39555555555556,"EXP 4",31.4002446854506,29.6213549316235
"C44",10.8137869292748,236,"F",11,374,1417,254,3.789,"MILT","10",205,1212,4.77165354330709,"EXP 4",44.1256478837159,28.2641000767719
"C44",10.8137869292748,237,"E",11,678,2798,467,4.127,"MILT","5",255,2543,5.44539614561028,"EXP 4",50.3560517811632,28.6914507407091
"C44",10.8137869292748,238,"D",11,1114,4758,748,4.271,"MILT","2.5",333,4425,5.91577540106952,"EXP 4",54.7058624306208,41.7755316104934
"C44",10.8137869292748,239,"C",11,1319,11289,1043,8.559,"MILT","1.25",753,10536,10.1016299137105,"EXP 4",93.4143605730166,86.9434696214609
"C44",10.8137869292748,240,"B",11,1408,12641,1117,8.978,"MILT","0",562,12079,10.8137869292748,"EXP 4",100,100
"C58",8.60798362333674,223,"G",9,374,980,242,2.62,"MILT","20",209,771,3.18595041322314,"EXP 4",37.0115761441024,26.5907146887337
"C58",8.60798362333674,224,"F",9,579,2017,408,3.484,"MILT","10",205,1812,4.44117647058824,"EXP 4",51.5936909841226,39.8117149109901
"C58",8.60798362333674,225,"E",9,679,2266,436,3.337,"MILT","5",255,2011,4.61238532110092,"EXP 4",53.5826451690321,36.3030758213946
"C58",8.60798362333674,226,"D",9,945,4081,652,4.319,"MILT","2.5",333,3748,5.74846625766871,"EXP 4",66.7806365486603,47.5684275203723
"C58",8.60798362333674,227,"C",9,1463,7578,1065,5.18,"MILT","1.25",753,6825,6.40845070422535,"EXP 4",74.4477566947464,96.9296537301718
"C58",8.60798362333674,228,"B",9,1330,8972,977,6.746,"MILT","0",562,8410,8.60798362333674,"EXP 4",100,100
"C6",14.3352941176471,187,"G",3,471,3039,359,6.452,"MILT","20",209,2830,7.88300835654596,"EXP 4",54.9902101195244,40.0491175321576
"C6",14.3352941176471,188,"F",3,500,2380,379,4.76,"MILT","10",205,2175,5.73878627968338,"EXP 4",40.0325674003353,52.6835678531626
"C6",14.3352941176471,189,"E",3,684,7085,586,10.36,"MILT","5",255,6830,11.6552901023891,"EXP 4",81.3048550433378,70.9979009048729
"C6",14.3352941176471,190,"D",3,1292,11577,1017,8.961,"MILT","2.5",333,11244,11.0560471976401,"EXP 4",77.1246624373743,84.0350362169988
"C6",14.3352941176471,191,"C",3,1509,17060,1261,11.31,"MILT","1.25",753,16307,12.9318001586043,"EXP 4",90.2095210079083,87.665813118613
"C6",14.3352941176471,192,"B",3,1623,20058,1360,12.36,"MILT","0",562,19496,14.3352941176471,"EXP 4",100,100
"C67",13.4263059701493,181,"B",2,1351,14955,1072,11.07,"MILT","0",562,14393,13.4263059701493,"EXP 4",100,100
"C67",13.4263059701493,182,"C",2,1664,15252,1270,9.166,"MILT","1.25",753,14499,11.4165354330709,"EXP 4",85.0310983412212,89.4706395973511
"C67",13.4263059701493,183,"D",2,1530,8541,1051,5.582,"MILT","2.5",333,8208,7.80970504281637,"EXP 4",58.1671910366089,59.2522304935905
"C67",13.4263059701493,184,"E",2,1108,4635,725,4.183,"MILT","5",255,4380,6.04137931034483,"EXP 4",44.996585984087,35.0227147143661
"C67",13.4263059701493,185,"F",2,793,3590,627,4.527,"MILT","10",205,3385,5.39872408293461,"EXP 4",40.2100480574299,25.4647011757812
"C67",13.4263059701493,186,"G",2,559,1518,374,2.716,"MILT","20",209,1309,3.5,"EXP 4",26.068227610644,22.8733804614989
"C7",8.00586854460094,229,"B",10,1205,7383,852,6.127,"MILT","0",562,6821,8.00586854460094,"EXP 4",100,100
"C7",8.00586854460094,230,"C",10,1237,7948,917,6.425,"MILT","1.25",753,7195,7.84623773173391,"EXP 4",98.0060775170399,88.6241628090396
"C7",8.00586854460094,231,"D",10,1077,3487,711,3.238,"MILT","2.5",333,3154,4.43600562587904,"EXP 4",55.4094237391723,54.6522970021338
"C7",8.00586854460094,232,"E",10,948,2385,558,2.516,"MILT","5",255,2130,3.81720430107527,"EXP 4",47.6800771810017,39.6276944572228
"C7",8.00586854460094,233,"F",10,799,2531,524,3.168,"MILT","10",205,2326,4.43893129770992,"EXP 4",55.4459678294803,39.8050271134328
"C7",8.00586854460094,234,"G",10,891,2535,595,2.845,"MILT","20",209,2326,3.90924369747899,"EXP 4",48.8297262901642,51.9463981982667
"C73",10.5902285263987,211,"G",7,431,1358,285,3.151,"MILT","20",209,1149,4.03157894736842,"EXP 4",38.068856940327,16.103799199948
"C73",10.5902285263987,212,"F",7,413,1282,273,3.104,"MILT","10",205,1077,3.94505494505495,"EXP 4",37.2518396106463,22.7637102041411
"C73",10.5902285263987,213,"E",7,822,3286,596,3.998,"MILT","5",255,3031,5.08557046979866,"EXP 4",48.0213477652692,34.7509562123748
"C73",10.5902285263987,214,"D",7,1085,5080,780,4.682,"MILT","2.5",333,4747,6.08589743589744,"EXP 4",57.4671020623103,43.537272268328
"C73",10.5902285263987,215,"C",7,1444,12302,1127,8.519,"MILT","1.25",753,11549,10.2475598935226,"EXP 4",96.7642942546337,99.8575087135984
"C73",10.5902285263987,216,"B",7,1621,14001,1269,8.637,"MILT","0",562,13439,10.5902285263987,"EXP 4",100,100
"C85",10.1640211640212,205,"B",6,1262,10167,945,8.056,"MILT","0",562,9605,10.1640211640212,"EXP 4",100,100
"C85",10.1640211640212,206,"C",6,1113,7973,853,7.164,"MILT","1.25",753,7220,8.46424384525205,"EXP 4",83.2765271604702,104.232149116394
"C85",10.1640211640212,207,"D",6,1044,3950,663,3.784,"MILT","2.5",333,3617,5.45550527903469,"EXP 4",53.6746745308461,57.0025201769423
"C85",10.1640211640212,208,"E",6,934,1768,482,1.893,"MILT","5",255,1513,3.13900414937759,"EXP 4",30.8834869459845,24.6084908673419
"C85",10.1640211640212,209,"F",6,826,1921,506,2.326,"MILT","10",205,1716,3.39130434782609,"EXP 4",33.3657741665346,26.5162360207925
"C85",10.1640211640212,210,"G",6,532,1128,342,2.12,"MILT","20",209,919,2.68713450292398,"EXP 4",26.4377106222088,18.1930279349061
"REF",11.2338902147971,199,"G",5,287,827,197,2.882,"MILT","20",209,618,3.13705583756345,"EXP 4",27.9249287431292,18.4566377661762
"REF",11.2338902147971,200,"F",5,449,2020,342,4.499,"MILT","10",205,1815,5.30701754385965,"EXP 4",47.2411376859401,26.1357883018365
"REF",11.2338902147971,201,"E",5,589,3069,461,5.211,"MILT","5",255,2814,6.10412147505423,"EXP 4",54.3366666251908,26.2275949699261
"REF",11.2338902147971,202,"D",5,959,6192,756,6.457,"MILT","2.5",333,5859,7.75,"EXP 4",68.9876779264927,38.5606492279178
"REF",11.2338902147971,203,"C",5,1721,11979,1243,6.96,"MILT","1.25",753,11226,9.03137570394208,"EXP 4",80.3940178447364,76.2442942287075
"REF",11.2338902147971,204,"B",5,1631,14683,1257,9.002,"MILT","0",562,14121,11.2338902147971,"EXP 4",100,100
