"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","ama_per_infc_cell","experiment"
"142","D",5,1276,6685,920,5.239,"SbIII",25,"C44",437,6248,4.89655172413793,6.79130434782609,"EXP 3"
"143","C",5,1818,15177,1372,8.348,"SbIII",10,"C44",436,14741,8.10836083608361,10.7441690962099,"EXP 3"
"144","B",5,1922,11407,1305,5.935,"SbIII",0,"C44",358,11049,5.74869927159209,8.46666666666667,"EXP 3"
"145","B",6,1664,8190,984,4.922,"SbIII",0,"REF",358,7832,4.70673076923077,7.95934959349593,"EXP 3"
"146","C",6,1744,14512,1157,8.321,"SbIII",10,"REF",436,14076,8.07110091743119,12.1659464131374,"EXP 3"
"147","D",6,1205,4771,760,3.959,"SbIII",25,"REF",437,4334,3.59668049792531,5.70263157894737,"EXP 3"
"148","E",6,814,4057,553,4.984,"SbIII",35,"REF",448,3609,4.43366093366093,6.52622061482821,"EXP 3"
"149","F",6,567,2577,391,4.545,"SbIII",65,"REF",188,2389,4.21340388007055,6.10997442455243,"EXP 3"
"150","G",6,449,1247,249,2.777,"SbIII",100,"REF",225,1022,2.27616926503341,4.10441767068273,"EXP 3"
"151","G",7,659,1984,389,3.011,"SbIII",100,"C85",225,1759,2.66919575113809,4.52185089974293,"EXP 3"
"152","F",7,757,2804,527,3.704,"SbIII",65,"C85",188,2616,3.4557463672391,4.96394686907021,"EXP 3"
"153","E",7,660,3242,467,4.912,"SbIII",35,"C85",448,2794,4.23333333333333,5.98286937901499,"EXP 3"
"154","D",7,1539,7830,1025,5.088,"SbIII",25,"C85",437,7393,4.80376868096166,7.21268292682927,"EXP 3"
"155","C",7,1968,11484,1227,5.835,"SbIII",10,"C85",436,11048,5.61382113821138,9.0040749796251,"EXP 3"
"156","B",7,1825,9400,1120,5.151,"SbIII",0,"C85",358,9042,4.95452054794521,8.07321428571429,"EXP 3"
"157","B",8,1289,358,230,0.2777,"SbIII",0,"THP-1",358,0,0,0,"EXP 3"
"158","C",8,1793,436,277,0.2432,"SbIII",10,"THP-1",436,0,0,0,"EXP 3"
"159","D",8,717,437,225,0.6095,"SbIII",25,"THP-1",437,0,0,0,"EXP 3"
"160","E",8,548,448,203,0.8175,"SbIII",35,"THP-1",448,0,0,0,"EXP 3"
"161","F",8,487,188,109,0.386,"SbIII",65,"THP-1",188,0,0,0,"EXP 3"
"162","G",8,425,225,117,0.5294,"SbIII",100,"THP-1",225,0,0,0,"EXP 3"
"163","G",9,328,993,187,3.027,"SbIII",100,"C6",225,768,2.34146341463415,4.10695187165775,"EXP 3"
"164","F",9,546,3517,392,6.441,"SbIII",65,"C6",188,3329,6.0970695970696,8.49234693877551,"EXP 3"
"165","E",9,577,4741,443,8.217,"SbIII",35,"C6",448,4293,7.44020797227036,9.69074492099323,"EXP 3"
"166","D",9,945,9165,695,9.698,"SbIII",25,"C6",437,8728,9.23597883597884,12.558273381295,"EXP 3"
"167","C",9,1430,20995,1120,14.68,"SbIII",10,"C6",436,20559,14.3769230769231,18.35625,"EXP 3"
"168","B",9,1297,15448,993,11.91,"SbIII",0,"C6",358,15090,11.6345412490362,15.1963746223565,"EXP 3"
"169","B",10,1533,8470,1042,5.525,"SbIII",0,"C67",358,8112,5.29158512720157,7.78502879078695,"EXP 3"
"170","C",10,1712,9444,1102,5.516,"SbIII",10,"C67",436,9008,5.26168224299065,8.17422867513612,"EXP 3"
"171","D",10,1133,4801,770,4.237,"SbIII",25,"C67",437,4364,3.85172109443954,5.66753246753247,"EXP 3"
"172","E",10,723,2834,475,3.92,"SbIII",35,"C67",448,2386,3.30013831258645,5.02315789473684,"EXP 3"
"173","F",10,698,4073,512,5.835,"SbIII",65,"C67",188,3885,5.56590257879656,7.587890625,"EXP 3"
"174","G",10,380,1122,240,2.953,"SbIII",100,"C67",225,897,2.36052631578947,3.7375,"EXP 3"
"175","G",11,349,1011,217,2.897,"SbIII",100,"C58",225,786,2.25214899713467,3.6221198156682,"EXP 3"
"176","F",11,328,1062,222,3.238,"SbIII",65,"C58",188,874,2.66463414634146,3.93693693693694,"EXP 3"
"177","E",11,545,1856,344,3.406,"SbIII",35,"C58",448,1408,2.58348623853211,4.09302325581395,"EXP 3"
"178","D",11,682,2142,393,3.141,"SbIII",25,"C58",437,1705,2.5,4.33842239185751,"EXP 3"
"179","C",11,1384,5378,819,3.886,"SbIII",10,"C58",436,4942,3.57080924855491,6.03418803418803,"EXP 3"
"180","B",11,1212,5907,794,4.874,"SbIII",0,"C58",358,5549,4.57838283828383,6.98866498740554,"EXP 3"
"181","B",2,1117,13426,953,12.02,"SbIII",0,"C67",333,13093,11.72157564906,13.7387198321091,"EXP 4"
"182","C",2,990,11967,866,12.09,"SbIII",10,"C67",386,11581,11.6979797979798,13.3729792147806,"EXP 4"
"183","D",2,490,5024,411,10.25,"SbIII",25,"C67",267,4757,9.70816326530612,11.5742092457421,"EXP 4"
"184","E",2,104,269,64,2.587,"SbIII",35,"C67",36,233,2.24038461538462,3.640625,"EXP 4"
"185","F",2,114,209,64,1.833,"SbIII",65,"C67",43,166,1.45614035087719,2.59375,"EXP 4"
"186","G",2,207,457,126,2.208,"SbIII",100,"C67",81,376,1.81642512077295,2.98412698412698,"EXP 4"
"187","G",3,50,58,22,1.16,"SbIII",100,"C6",81,0,0,0,"EXP 4"
"188","F",3,46,46,19,1,"SbIII",65,"C6",43,3,0.0652173913043478,0.157894736842105,"EXP 4"
"189","E",3,88,269,52,3.057,"SbIII",35,"C6",36,233,2.64772727272727,4.48076923076923,"EXP 4"
"190","D",3,354,3653,289,10.32,"SbIII",25,"C6",267,3386,9.56497175141243,11.7162629757785,"EXP 4"
"191","C",3,1258,14572,1053,11.58,"SbIII",10,"C6",386,14186,11.2766295707472,13.4719848053181,"EXP 4"
"192","B",3,1092,10331,865,9.461,"SbIII",0,"C6",333,9998,9.15567765567766,11.5583815028902,"EXP 4"
"193","B",4,327,333,128,1.018,"SbIII",0,"THP-1",333,0,0,0,"EXP 4"
"194","C",4,386,386,156,1,"SbIII",10,"THP-1",386,0,0,0,"EXP 4"
"195","D",4,191,267,106,1.398,"SbIII",25,"THP-1",267,0,0,0,"EXP 4"
"196","E",4,42,36,20,0.8571,"SbIII",35,"THP-1",36,0,0,0,"EXP 4"
"197","F",4,78,43,24,0.5513,"SbIII",65,"THP-1",43,0,0,0,"EXP 4"
"198","G",4,125,81,40,0.648,"SbIII",100,"THP-1",81,0,0,0,"EXP 4"
"199","G",5,173,789,124,4.561,"SbIII",100,"REF",81,708,4.09248554913295,5.70967741935484,"EXP 4"
"200","F",5,137,706,95,5.153,"SbIII",65,"REF",43,663,4.83941605839416,6.97894736842105,"EXP 4"
"201","E",5,242,2705,214,11.18,"SbIII",35,"REF",36,2669,11.0289256198347,12.4719626168224,"EXP 4"
"202","D",5,769,9281,662,12.07,"SbIII",25,"REF",267,9014,11.7217165149545,13.6163141993958,"EXP 4"
"203","C",5,1089,14754,955,13.55,"SbIII",10,"REF",386,14368,13.1937557392103,15.0450261780105,"EXP 4"
"204","B",5,1169,11233,953,9.609,"SbIII",0,"REF",333,10900,9.32420872540633,11.4375655823715,"EXP 4"
"205","B",6,1650,14409,1297,8.733,"SbIII",0,"C85",333,14076,8.53090909090909,10.8527370855821,"EXP 4"
"206","C",6,1588,19104,1306,12.03,"SbIII",10,"C85",386,18718,11.7871536523929,14.3323124042879,"EXP 4"
"207","D",6,407,3505,334,8.612,"SbIII",25,"C85",267,3238,7.95577395577396,9.69461077844311,"EXP 4"
"208","E",6,126,943,104,7.484,"SbIII",35,"C85",36,907,7.1984126984127,8.72115384615385,"EXP 4"
"209","F",6,73,242,41,3.315,"SbIII",65,"C85",43,199,2.72602739726027,4.85365853658537,"EXP 4"
"210","G",6,112,192,59,1.714,"SbIII",100,"C85",81,111,0.991071428571429,1.88135593220339,"EXP 4"
"211","G",7,67,69,35,1.03,"SbIII",100,"C73",81,0,0,0,"EXP 4"
"212","F",7,53,71,24,1.34,"SbIII",65,"C73",43,28,0.528301886792453,1.16666666666667,"EXP 4"
"213","E",7,90,504,66,5.6,"SbIII",35,"C73",36,468,5.2,7.09090909090909,"EXP 4"
"214","D",7,358,3255,307,9.092,"SbIII",25,"C73",267,2988,8.3463687150838,9.7328990228013,"EXP 4"
"215","C",7,1509,26124,1320,17.31,"SbIII",10,"C73",386,25738,17.0563286944997,19.4984848484848,"EXP 4"
"216","B",7,1249,16440,1067,13.16,"SbIII",0,"C73",333,16107,12.8959167333867,15.095595126523,"EXP 4"
"217","B",8,1071,14366,921,13.41,"SbIII",0,"C76",333,14033,13.1027077497666,15.2366992399566,"EXP 4"
"218","C",8,1232,19412,1061,15.76,"SbIII",10,"C76",386,19026,15.4431818181818,17.9321394910462,"EXP 4"
"219","D",8,534,7937,439,14.86,"SbIII",25,"C76",267,7670,14.3632958801498,17.4715261958998,"EXP 4"
"220","E",8,373,5731,315,15.36,"SbIII",35,"C76",36,5695,15.2680965147453,18.0793650793651,"EXP 4"
"221","F",8,159,882,130,5.547,"SbIII",65,"C76",43,839,5.27672955974843,6.45384615384615,"EXP 4"
"222","G",8,247,728,162,2.947,"SbIII",100,"C76",81,647,2.61943319838057,3.99382716049383,"EXP 4"
"223","G",9,100,149,59,1.49,"SbIII",100,"C58",81,68,0.68,1.15254237288136,"EXP 4"
"224","F",9,35,54,16,1.543,"SbIII",65,"C58",43,11,0.314285714285714,0.6875,"EXP 4"
"225","E",9,179,928,126,5.184,"SbIII",35,"C58",36,892,4.98324022346369,7.07936507936508,"EXP 4"
"226","D",9,351,3231,275,9.205,"SbIII",25,"C58",267,2964,8.44444444444444,10.7781818181818,"EXP 4"
"227","C",9,878,10426,723,11.87,"SbIII",10,"C58",386,10040,11.4350797266515,13.8865836791148,"EXP 4"
"228","B",9,781,8083,645,10.35,"SbIII",0,"C58",333,7750,9.92317541613316,12.015503875969,"EXP 4"
"229","B",10,1384,13702,1090,9.9,"SbIII",0,"C7",333,13369,9.65968208092486,12.2651376146789,"EXP 4"
"230","C",10,1548,19249,1265,12.43,"SbIII",10,"C7",386,18863,12.1854005167959,14.9114624505929,"EXP 4"
"231","D",10,536,5384,431,10.04,"SbIII",25,"C7",267,5117,9.54664179104478,11.8723897911833,"EXP 4"
"232","E",10,216,1484,173,6.87,"SbIII",35,"C7",36,1448,6.7037037037037,8.36994219653179,"EXP 4"
"233","F",10,43,45,20,1.047,"SbIII",65,"C7",43,2,0.0465116279069767,0.1,"EXP 4"
"234","G",10,79,97,42,1.228,"SbIII",100,"C7",81,16,0.20253164556962,0.380952380952381,"EXP 4"
"235","G",11,49,35,21,0.7143,"SbIII",100,"C44",81,0,0,0,"EXP 4"
"236","F",11,54,113,31,2.093,"SbIII",65,"C44",43,70,1.2962962962963,2.25806451612903,"EXP 4"
"237","E",11,78,468,57,6,"SbIII",35,"C44",36,432,5.53846153846154,7.57894736842105,"EXP 4"
"238","D",11,86,485,61,5.64,"SbIII",25,"C44",267,218,2.53488372093023,3.57377049180328,"EXP 4"
"239","C",11,1168,17430,1004,14.92,"SbIII",10,"C44",386,17044,14.5924657534247,16.9760956175299,"EXP 4"
"240","B",11,966,12678,840,13.12,"SbIII",0,"C44",333,12345,12.7795031055901,14.6964285714286,"EXP 4"
