"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value","mean_normalized","viability_normalized"
"C58",4.57838283828383,176,"F",11,328,1062,222,3.238,"SbIII",65,188,874,2.66463414634146,"EXP 3",58.2003349318048,35.3572040799572,9.98866915357412,16.4420209512704
"C58",4.57838283828383,177,"E",11,545,1856,344,3.406,"SbIII",35,448,1408,2.58348623853211,"EXP 3",56.4279207262735,47.7121049647462,23.9048160226306,28.2716317902518
"C58",4.57838283828383,178,"D",11,682,2142,393,3.141,"SbIII",25,437,1705,2.5,"EXP 3",54.6044332312128,69.692738991546,48.6630665536829,38.127632905617
"C58",4.57838283828383,179,"C",11,1384,5378,819,3.886,"SbIII",10,436,4942,3.57080924855491,"EXP 3",77.9928060776455,115.27020597478,100,67.6608542668082
"C58",4.57838283828383,180,"B",11,1212,5907,794,4.874,"SbIII",0,358,5549,4.57838283828383,"EXP 3",100,100,82.8001510455329,82.8001510455329
"C58",9.92317541613316,223,"G",9,100,149,59,1.49,"SbIII",100,81,68,0.68,"EXP 4",6.85264516129032,26.4891590295154,0,0
"C58",9.92317541613316,224,"F",9,35,54,16,1.543,"SbIII",65,43,11,0.314285714285714,"EXP 4",3.16718894009216,35.3572040799572,9.98866915357412,0.894754076082985
"C58",9.92317541613316,225,"E",9,179,928,126,5.184,"SbIII",35,36,892,4.98324022346369,"EXP 4",50.2182014777438,47.7121049647462,23.9048160226306,25.1604256026822
"C58",9.92317541613316,226,"D",9,351,3231,275,9.205,"SbIII",25,267,2964,8.44444444444444,"EXP 4",85.0982078853046,69.692738991546,48.6630665536829,59.4199598673265
"C58",9.92317541613316,227,"C",9,878,10426,723,11.87,"SbIII",10,386,10040,11.4350797266515,"EXP 4",115.236093761482,115.27020597478,100,99.9704067386628
"C58",9.92317541613316,228,"B",9,781,8083,645,10.35,"SbIII",0,333,7750,9.92317541613316,"EXP 4",100,100,82.8001510455329,82.8001510455329
"C67",4.14980158730159,37,"B",8,1008,4214,490,4.181,"SbIII",0,31,4183,4.14980158730159,"EXP 1",100,100,78.7895979652534,78.7895979652534
"C67",4.14980158730159,38,"C",8,799,4559,463,5.706,"SbIII",10,12,4547,5.69086357947434,"EXP 1",137.135799381069,120.366763227519,100,113.931616755244
"C67",4.14980158730159,39,"D",8,453,688,197,1.519,"SbIII",25,8,680,1.50110375275938,"EXP 1",36.172904202282,61.4101211109354,38.6012363406976,22.7376008869824
"C67",4.14980158730159,40,"E",8,527,1064,273,2.019,"SbIII",35,21,1043,1.97912713472486,"EXP 1",47.6920906479239,42.545967111958,18.9556851112781,21.2484593484887
"C67",4.14980158730159,41,"F",8,326,701,136,2.15,"SbIII",65,15,686,2.10429447852761,"EXP 1",50.7083154280619,43.5414992385314,19.9924544990911,23.2831598968911
"C67",4.14980158730159,42,"G",8,257,337,84,1.311,"SbIII",100,16,321,1.24902723735409,"EXP 1",30.0984808810165,24.3442399667412,0,0
"C67",6.07692307692308,97,"B",8,221,1347,152,6.095,"SbIII",0,4,1343,6.07692307692308,"EXP 2",100,100,78.7895979652534,78.7895979652534
"C67",6.07692307692308,98,"C",8,148,1123,104,7.588,"SbIII",10,3,1120,7.56756756756757,"EXP 2",124.529592884023,120.366763227519,100,103.458454431175
"C67",6.07692307692308,99,"D",8,33,114,17,3.455,"SbIII",25,6,108,3.27272727272727,"EXP 2",53.8550057537399,61.4101211109354,38.6012363406976,33.8522342510013
"C67",6.07692307692308,100,"E",8,65,169,35,2.6,"SbIII",35,7,162,2.49230769230769,"EXP 2",41.012658227848,42.545967111958,18.9556851112781,18.2725435033078
"C67",6.07692307692308,101,"F",8,45,17,7,0.3778,"SbIII",65,1,16,0.355555555555556,"EXP 2",5.85091420534459,43.5414992385314,19.9924544990911,2.68649766485126
"C67",6.07692307692308,102,"G",8,78,37,19,0.4744,"SbIII",100,3,34,0.435897435897436,"EXP 2",7.17299578059071,24.3442399667412,0,0
"C67",5.29158512720157,169,"B",10,1533,8470,1042,5.525,"SbIII",0,358,8112,5.29158512720157,"EXP 3",100,100,78.7895979652534,78.7895979652534
"C67",5.29158512720157,170,"C",10,1712,9444,1102,5.516,"SbIII",10,436,9008,5.26168224299065,"EXP 3",99.4348974174638,120.366763227519,100,82.60992881358
"C67",5.29158512720157,171,"D",10,1133,4801,770,4.237,"SbIII",25,437,4364,3.85172109443954,"EXP 3",72.7895517477294,61.4101211109354,38.6012363406976,45.7541304156002
"C67",5.29158512720157,172,"E",10,723,2834,475,3.92,"SbIII",35,448,2386,3.30013831258645,"EXP 3",62.365779501911,42.545967111958,18.9556851112781,27.786090156248
"C67",5.29158512720157,173,"F",10,698,4073,512,5.835,"SbIII",65,188,3885,5.56590257879656,"EXP 3",105.18403172208,43.5414992385314,19.9924544990911,48.2961543587301
"C67",5.29158512720157,174,"G",10,380,1122,240,2.953,"SbIII",100,225,897,2.36052631578947,"EXP 3",44.6090587044533,24.3442399667412,0,0
"C67",11.72157564906,181,"B",2,1117,13426,953,12.02,"SbIII",0,333,13093,11.72157564906,"EXP 4",100,100,78.7895979652534,78.7895979652534
"C67",11.72157564906,183,"D",2,490,5024,411,10.25,"SbIII",25,267,4757,9.70816326530612,"EXP 4",82.8230227399902,61.4101211109354,38.6012363406976,52.0609798092066
"C67",11.72157564906,184,"E",2,104,269,64,2.587,"SbIII",35,36,233,2.24038461538462,"EXP 4",19.1133400701491,42.545967111958,18.9556851112781,8.5156474370679
"C67",11.72157564906,185,"F",2,114,209,64,1.833,"SbIII",65,43,166,1.45614035087719,"EXP 4",12.4227355986391,43.5414992385314,19.9924544990911,5.70400607589204
"C67",11.72157564906,186,"G",2,207,457,126,2.208,"SbIII",100,81,376,1.81642512077295,"EXP 4",15.4964245009042,24.3442399667412,0,0
"C73",10.0798479087452,43,"G",9,455,544,147,1.196,"SbIII",100,16,528,1.16043956043956,"EXP 1",11.5124709315581,7.30095891082097,0,0
"C73",10.0798479087452,44,"F",9,306,1032,178,3.373,"SbIII",65,15,1017,3.32352941176471,"EXP 1",32.9720194377262,25.0304292861862,16.7900244415064,22.1171201626481
"C73",10.0798479087452,45,"E",9,448,3913,300,8.734,"SbIII",35,21,3892,8.6875,"EXP 1",86.1868162957379,58.9101541082074,48.8745366006311,71.5044930930005
"C73",10.0798479087452,46,"D",9,597,4660,434,7.806,"SbIII",25,8,4652,7.79229480737018,"EXP 1",77.3056783982786,64.871353318841,54.5198648776844,64.9700511077171
"C73",10.0798479087452,47,"C",9,789,12490,602,15.83,"SbIII",10,12,12478,15.8149556400507,"EXP 1",156.896768515027,112.896221366404,100,138.97433113002
"C73",10.0798479087452,48,"B",9,1052,10635,612,10.11,"SbIII",0,31,10604,10.0798479087452,"EXP 1",100,100,87.7871212528795,87.7871212528795
"C73",8.51082251082251,109,"B",10,231,1970,168,8.528,"SbIII",0,4,1966,8.51082251082251,"EXP 2",100,100,87.7871212528795,87.7871212528795
"C73",8.51082251082251,110,"C",10,115,591,83,5.139,"SbIII",10,3,588,5.11304347826087,"EXP 2",60.0769605024548,112.896221366404,100,53.2143235400903
"C73",8.51082251082251,111,"D",10,108,483,72,4.472,"SbIII",25,6,477,4.41666666666667,"EXP 2",51.8947100712106,64.871353318841,54.5198648776844,43.6138979102703
"C73",8.51082251082251,112,"E",10,98,255,49,2.602,"SbIII",35,7,248,2.53061224489796,"EXP 2",29.7340502833891,58.9101541082074,48.8745366006311,24.6687171483403
"C73",8.51082251082251,113,"F",10,62,99,29,1.597,"SbIII",65,1,98,1.58064516129032,"EXP 2",18.5721786499524,25.0304292861862,16.7900244415064,12.4579299020179
"C73",8.51082251082251,114,"G",10,49,76,17,1.551,"SbIII",100,3,73,1.48979591836735,"EXP 2",17.5047231507049,7.30095891082097,0,0
"C73",6.1232725262576,127,"G",3,175,227,76,1.297,"SbIII",100,225,2,0.0114285714285714,"EXP 3",0.186641561020905,7.30095891082097,0,0
"C73",6.1232725262576,128,"F",3,456,1430,258,3.136,"SbIII",65,188,1242,2.72368421052632,"EXP 3",44.4808588683047,25.0304292861862,16.7900244415064,29.8370714716506
"C73",6.1232725262576,129,"E",3,817,4420,523,5.41,"SbIII",35,448,3972,4.86168910648715,"EXP 3",79.3969088528957,58.9101541082074,48.8745366006311,65.8712778204597
"C73",6.1232725262576,130,"D",3,1023,4544,670,4.442,"SbIII",25,437,4107,4.01466275659824,"EXP 3",65.5640058380989,64.871353318841,54.5198648776844,55.1019911911516
"C73",6.1232725262576,131,"C",3,1516,9937,1002,6.555,"SbIII",10,436,9501,6.26715039577836,"EXP 3",102.349689139325,112.896221366404,100,90.6582061831367
"C73",6.1232725262576,132,"B",3,1809,11435,1184,6.321,"SbIII",0,358,11077,6.1232725262576,"EXP 3",100,100,87.7871212528795,87.7871212528795
"C73",12.8959167333867,211,"G",7,67,69,35,1.03,"SbIII",100,81,0,0,"EXP 4",0,7.30095891082097,0,0
"C73",12.8959167333867,212,"F",7,53,71,24,1.34,"SbIII",65,43,28,0.528301886792453,"EXP 4",4.09666018876125,25.0304292861862,16.7900244415064,2.74797622970884
