"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment"
"179","C",11,1924,2261,653,1.175,"ANF",0.15,"C58",602,1659,2.5405819295559,"EXP 3"
"180","B",11,2001,10090,1210,5.042,"ANF",0,"C58",583,9507,7.85702479338843,"EXP 3"
"181","B",2,1360,16821,1132,12.37,"ANF",0,"C67",558,16263,14.3666077738516,"EXP 4"
"182","C",2,1346,4654,832,3.458,"ANF",0.15,"C67",838,3816,4.58653846153846,"EXP 4"
"183","D",2,859,8723,698,10.15,"ANF",0.62,"C67",776,7947,11.3853868194842,"EXP 4"
"184","E",2,640,1750,350,2.734,"ANF",1.2,"C67",251,1499,4.28285714285714,"EXP 4"
"185","F",2,234,975,170,4.167,"ANF",3,"C67",310,665,3.91176470588235,"EXP 4"
"186","G",2,53,85,35,1.604,"ANF",5,"C67",290,0,0,"EXP 4"
"187","G",3,105,182,66,1.733,"ANF",5,"C6",290,0,0,"EXP 4"
"188","F",3,348,1145,248,3.29,"ANF",3,"C6",310,835,3.36693548387097,"EXP 4"
"189","E",3,894,2079,498,2.326,"ANF",1.2,"C6",251,1828,3.67068273092369,"EXP 4"
"190","D",3,1232,6466,826,5.248,"ANF",0.62,"C6",776,5690,6.88861985472155,"EXP 4"
"191","C",3,1831,4465,946,2.439,"ANF",0.15,"C6",838,3627,3.83403805496829,"EXP 4"
"192","B",3,1380,15362,1144,11.13,"ANF",0,"C6",558,14804,12.9405594405594,"EXP 4"
"193","B",4,681,558,251,0.8194,"ANF",0,"THP-1",558,0,0,"EXP 4"
"194","C",4,1016,838,385,0.8248,"ANF",0.15,"THP-1",838,0,0,"EXP 4"
"195","D",4,674,776,298,1.151,"ANF",0.62,"THP-1",776,0,0,"EXP 4"
"196","E",4,365,251,108,0.6877,"ANF",1.2,"THP-1",251,0,0,"EXP 4"
"197","F",4,306,310,135,1.013,"ANF",3,"THP-1",310,0,0,"EXP 4"
"198","G",4,565,290,156,0.5133,"ANF",5,"THP-1",290,0,0,"EXP 4"
"199","G",5,126,134,60,1.063,"ANF",5,"REF",290,0,0,"EXP 4"
"200","F",5,431,804,259,1.865,"ANF",3,"REF",310,494,1.90733590733591,"EXP 4"
"201","E",5,426,790,258,1.854,"ANF",1.2,"REF",251,539,2.08914728682171,"EXP 4"
"202","D",5,831,1495,389,1.799,"ANF",0.62,"REF",776,719,1.84832904884319,"EXP 4"
"203","C",5,1776,2988,692,1.682,"ANF",0.15,"REF",838,2150,3.10693641618497,"EXP 4"
"204","B",5,1736,13080,1272,7.535,"ANF",0,"REF",558,12522,9.84433962264151,"EXP 4"
"205","B",6,2016,16489,1474,8.179,"ANF",0,"C85",558,15931,10.8080054274084,"EXP 4"
"206","C",6,1699,5668,799,3.336,"ANF",0.15,"C85",838,4830,6.0450563204005,"EXP 4"
"207","D",6,1673,5561,821,3.324,"ANF",0.62,"C85",776,4785,5.82825822168088,"EXP 4"
"208","E",6,1545,3650,601,2.362,"ANF",1.2,"C85",251,3399,5.65557404326123,"EXP 4"
"209","F",6,400,522,189,1.305,"ANF",3,"C85",310,212,1.12169312169312,"EXP 4"
"210","G",6,603,1094,326,1.814,"ANF",5,"C85",290,804,2.46625766871166,"EXP 4"
"211","G",7,513,810,257,1.579,"ANF",5,"C73",290,520,2.02334630350195,"EXP 4"
"212","F",7,627,1070,330,1.707,"ANF",3,"C73",310,760,2.3030303030303,"EXP 4"
"213","E",7,1101,1617,496,1.469,"ANF",1.2,"C73",251,1366,2.75403225806452,"EXP 4"
"214","D",7,1249,2393,519,1.916,"ANF",0.62,"C73",776,1617,3.11560693641619,"EXP 4"
"215","C",7,1638,2914,633,1.779,"ANF",0.15,"C73",838,2076,3.27962085308057,"EXP 4"
"216","B",7,1644,16891,1275,10.27,"ANF",0,"C73",558,16333,12.8101960784314,"EXP 4"
"217","B",8,1470,19262,1212,13.1,"ANF",0,"C76",558,18704,15.4323432343234,"EXP 4"
"218","C",8,1712,4037,795,2.358,"ANF",0.15,"C76",838,3199,4.02389937106918,"EXP 4"
"219","D",8,1403,2768,605,1.973,"ANF",0.62,"C76",776,1992,3.29256198347107,"EXP 4"
"220","E",8,1127,1012,413,0.898,"ANF",1.2,"C76",251,761,1.84261501210654,"EXP 4"
"221","F",8,555,750,262,1.351,"ANF",3,"C76",310,440,1.6793893129771,"EXP 4"
"222","G",8,504,800,278,1.587,"ANF",5,"C76",290,510,1.83453237410072,"EXP 4"
"223","G",9,409,732,235,1.79,"ANF",5,"C58",290,442,1.88085106382979,"EXP 4"
"224","F",9,480,771,255,1.606,"ANF",3,"C58",310,461,1.8078431372549,"EXP 4"
"225","E",9,1314,1434,460,1.091,"ANF",1.2,"C58",251,1183,2.57173913043478,"EXP 4"
"226","D",9,1606,2254,530,1.403,"ANF",0.62,"C58",776,1478,2.78867924528302,"EXP 4"
"227","C",9,1771,2321,502,1.311,"ANF",0.15,"C58",838,1483,2.95418326693227,"EXP 4"
"228","B",9,1368,10654,1051,7.788,"ANF",0,"C58",558,10096,9.60608943862988,"EXP 4"
"229","B",10,1586,9929,1131,6.26,"ANF",0,"C7",558,9371,8.28558797524315,"EXP 4"
"230","C",10,1681,2238,499,1.331,"ANF",0.15,"C7",838,1400,2.80561122244489,"EXP 4"
"231","D",10,1753,1599,483,0.9122,"ANF",0.62,"C7",776,823,1.70393374741201,"EXP 4"
"232","E",10,889,873,311,0.982,"ANF",1.2,"C7",251,622,2,"EXP 4"
"233","F",10,564,592,240,1.05,"ANF",3,"C7",310,282,1.175,"EXP 4"
"234","G",10,516,425,208,0.8236,"ANF",5,"C7",290,135,0.649038461538462,"EXP 4"
"235","G",11,184,249,96,1.353,"ANF",5,"C44",290,0,0,"EXP 4"
"236","F",11,331,451,175,1.363,"ANF",3,"C44",310,141,0.805714285714286,"EXP 4"
"237","E",11,413,523,193,1.266,"ANF",1.2,"C44",251,272,1.40932642487047,"EXP 4"
"238","D",11,949,1956,446,2.061,"ANF",0.62,"C44",776,1180,2.6457399103139,"EXP 4"
"239","C",11,1304,1969,516,1.51,"ANF",0.15,"C44",838,1131,2.19186046511628,"EXP 4"
"240","B",11,1292,12417,1022,9.611,"ANF",0,"C44",558,11859,11.6037181996086,"EXP 4"
