"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"89","F",6,141,623,104,4.418,"MILT",10,"C58",105,518,4.98076923076923,"EXP 2","GSH1"
"90","G",6,73,142,38,1.945,"MILT",20,"C58",62,80,2.10526315789474,"EXP 2","GSH1"
"91","G",7,56,68,21,1.214,"MILT",20,"REF",62,6,0.285714285714286,"EXP 2","GSH1"
"92","F",7,164,488,102,2.976,"MILT",10,"REF",105,383,3.75490196078431,"EXP 2","GSH1"
"93","E",7,239,941,177,3.937,"MILT",5,"REF",34,907,5.12429378531073,"EXP 2","GSH1"
"94","D",7,264,1329,180,5.034,"MILT",2.5,"REF",234,1095,6.08333333333333,"EXP 2","GSH1"
"95","C",7,277,1895,213,6.841,"MILT",1.25,"REF",158,1737,8.15492957746479,"EXP 2","GSH1"
"96","B",7,312,5404,235,17.32,"MILT",0,"REF",153,5251,22.3446808510638,"EXP 2","GSH1"
"97","B",8,342,5328,243,15.58,"MILT",0,"C67",153,5175,21.2962962962963,"EXP 2","GSH1"
"98","C",8,186,1223,142,6.575,"MILT",1.25,"C67",158,1065,7.5,"EXP 2","GSH1"
"99","D",8,200,570,123,2.85,"MILT",2.5,"C67",234,336,2.73170731707317,"EXP 2","GSH1"
"100","E",8,211,736,156,3.488,"MILT",5,"C67",34,702,4.5,"EXP 2","GSH1"
"101","F",8,116,406,87,3.5,"MILT",10,"C67",105,301,3.45977011494253,"EXP 2","GSH1"
"102","G",8,104,500,77,4.808,"MILT",20,"C67",62,438,5.68831168831169,"EXP 2","GSH1"
"103","G",9,99,324,68,3.273,"MILT",20,"C7",62,262,3.85294117647059,"EXP 2","GSH1"
"104","F",9,123,237,74,1.927,"MILT",10,"C7",105,132,1.78378378378378,"EXP 2","GSH1"
"105","E",9,177,569,125,3.215,"MILT",5,"C7",34,535,4.28,"EXP 2","GSH1"
"106","D",9,158,875,116,5.538,"MILT",2.5,"C7",234,641,5.52586206896552,"EXP 2","GSH1"
