"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C67p",6.53302162478083,292,"D",5,1127,5491,848,6.475,"SbIII","25",451,5040,5.94339622641509,"EXP 2","PGPA",90.9746908516391,78.6336719798035
"C67p",6.53302162478083,293,"C",5,1621,9716,1171,8.297,"SbIII","10",365,9351,7.98548249359522,"EXP 2","PGPA",122.232604638946,94.5211707490702
"C67p",6.53302162478083,294,"B",5,2304,11457,1711,6.696,"SbIII","0",279,11178,6.53302162478083,"EXP 2","PGPA",100,100
"C68",6.93109540636042,295,"B",6,2073,8125,1132,7.178,"SbIII","0",279,7846,6.93109540636042,"EXP 2","PGPA",100,100
"C68",6.93109540636042,296,"C",6,2352,10231,1403,7.292,"SbIII","10",365,9866,7.03207412687099,"EXP 2","PGPA",101.45689410678,99.668032681507
"C68",6.93109540636042,297,"D",6,1913,4431,1050,4.22,"SbIII","25",451,3980,3.79047619047619,"EXP 2","PGPA",54.6879817438064,73.1663699956563
"C68",6.93109540636042,298,"E",6,594,989,313,3.16,"SbIII","35",260,729,2.32907348242811,"EXP 2","PGPA",33.6032523847645,49.2379786457763
"C68",6.93109540636042,299,"F",6,324,851,213,3.995,"SbIII","65",618,233,1.09389671361502,"EXP 2","PGPA",15.7824506731099,23.3430171142306
"C68",6.93109540636042,300,"G",6,380,798,234,3.41,"SbIII","100",215,583,2.49145299145299,"EXP 2","PGPA",35.9460207280753,32.7685033710961
"C7",12.0098039215686,103,"G",9,56,36,13,0.6429,"SbIII","100",3,33,2.53846153846154,"EXP 2","GSH1",21.1365777080063,14.4510373956683
"C7",12.0098039215686,104,"F",9,66,138,31,2.091,"SbIII","65",1,137,4.41935483870968,"EXP 2","GSH1",36.7978933508888,27.9354563594141
"C7",12.0098039215686,105,"E",9,94,239,51,2.543,"SbIII","35",7,232,4.54901960784314,"EXP 2","GSH1",37.8775510204083,64.1331458650449
"C7",12.0098039215686,106,"D",9,156,1099,112,7.045,"SbIII","25",6,1093,9.75892857142857,"EXP 2","GSH1",81.2580174927115,100.872763386628
"C7",12.0098039215686,107,"C",9,176,1526,124,8.67,"SbIII","10",3,1523,12.2822580645161,"EXP 2","GSH1",102.268597761685,105.194337651041
"C7",12.0098039215686,108,"B",9,294,2454,204,8.347,"SbIII","0",4,2450,12.0098039215686,"EXP 2","GSH1",100,100
"C73",11.702380952381,109,"B",10,231,1970,168,8.528,"SbIII","0",4,1966,11.702380952381,"EXP 2","GSH1",100,100
"C73",11.702380952381,110,"C",10,115,591,83,5.139,"SbIII","10",3,588,7.08433734939759,"EXP 2","GSH1",60.5375724668764,100.053010259564
"C73",11.702380952381,111,"D",10,108,483,72,4.472,"SbIII","25",6,477,6.625,"EXP 2","GSH1",56.6124109867749,62.9036591586644
"C73",11.702380952381,112,"E",10,98,255,49,2.602,"SbIII","35",7,248,5.06122448979592,"EXP 2","GSH1",43.2495276849294,51.2230425582754
"C73",11.702380952381,113,"F",10,62,99,29,1.597,"SbIII","65",1,98,3.37931034482759,"EXP 2","GSH1",28.8771179008664,20.8404511056236
"C73",11.702380952381,114,"G",10,49,76,17,1.551,"SbIII","100",3,73,4.29411764705882,"EXP 2","GSH1",36.6943929148463,16.7204860815098
"C76",9.29198263093263,67,"G",3,38,15,9,0.3947,"SbIII","100",3,12,1.33333333333333,"EXP 2","GSH1",14.3492878354585,14.5050269923466
"C76",9.29198263093263,68,"F",3,57,68,23,1.193,"SbIII","65",1,67,2.91304347826087,"EXP 2","GSH1",31.3500745100778,38.7480964647074
"C76",9.29198263093263,69,"E",3,35,69,15,1.971,"SbIII","35",7,62,4.13333333333333,"EXP 2","GSH1",44.4827922899213,67.668785925818
"C76",9.29198263093263,70,"D",3,53,129,20,2.434,"SbIII","25",6,123,6.15,"EXP 2","GSH1",66.1860901410523,93.2565369389539
"C76",9.29198263093263,71,"C",3,105,564,65,5.371,"SbIII","10",3,561,8.63076923076923,"EXP 2","GSH1",92.8840439502948,101.122223296293
"C76",9.29198263093263,72,"B",3,221,2126,167,9.62,"SbIII","0",4,2122,12.7065868263473,"EXP 2","GSH1",136.747853833127,100
"C76",9.29198263093263,283,"B",4,1626,5839,946,6.172,"SbIII","0",279,5560,5.87737843551797,"EXP 2","PGPA",63.2521461668731,100
"C76",9.29198263093263,284,"C",4,1546,4473,816,5.482,"SbIII","10",365,4108,5.0343137254902,"EXP 2","PGPA",54.1791125257937,101.122223296293
"C76",9.29198263093263,285,"D",4,1194,2889,656,4.404,"SbIII","25",451,2438,3.71646341463415,"EXP 2","PGPA",39.9964524499023,93.2565369389539
"C76",9.29198263093263,286,"E",4,546,1085,328,3.308,"SbIII","35",260,825,2.51524390243902,"EXP 2","PGPA",27.0689690493595,67.668785925818
"C76",9.29198263093263,287,"F",4,186,395,111,3.559,"SbIII","65",618,0,0,"EXP 2","PGPA",0,38.7480964647074
"C76",9.29198263093263,288,"G",4,182,336,104,3.231,"SbIII","100",215,121,1.16346153846154,"EXP 2","PGPA",12.5211333756525,14.5050269923466
"C85",34.4688995215311,115,"G",11,59,101,25,1.712,"SbIII","100",3,98,3.92,"EXP 2","GSH1",11.3725707940033,28.4964082313368
"C85",34.4688995215311,116,"F",11,103,669,62,6.495,"SbIII","65",1,668,10.7741935483871,"EXP 2","GSH1",31.2577242033996,46.2127963729697
"C85",34.4688995215311,117,"E",11,105,1139,72,10.85,"SbIII","35",7,1132,15.7222222222222,"EXP 2","GSH1",45.6127768523659,62.6584153793343
"C85",34.4688995215311,118,"D",11,189,2219,133,11.74,"SbIII","25",6,2213,16.6390977443609,"EXP 2","GSH1",48.2727849607361,68.2112941824814
"C85",34.4688995215311,119,"C",11,213,2689,162,12.62,"SbIII","10",3,2686,16.5802469135802,"EXP 2","GSH1",48.1020489302924,86.6486777986216
"C85",34.4688995215311,120,"B",11,237,7208,209,30.41,"SbIII","0",4,7204,34.4688995215311,"EXP 2","GSH1",100,100
"REF",6.97328855494839,91,"G",7,40,12,7,0.3,"SbIII","100",3,9,1.28571428571429,"EXP 2","GSH1",18.4377037545925,27.7542312933348
