"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"196","E",4,42,36,20,0.8571,"SbIII",35,"THP-1",36,0,0,"EXP 4","GSH1"
"197","F",4,78,43,24,0.5513,"SbIII",65,"THP-1",43,0,0,"EXP 4","GSH1"
"198","G",4,125,81,40,0.648,"SbIII",100,"THP-1",81,0,0,"EXP 4","GSH1"
"199","G",5,173,789,124,4.561,"SbIII",100,"REF",81,708,5.70967741935484,"EXP 4","GSH1"
"200","F",5,137,706,95,5.153,"SbIII",65,"REF",43,663,6.97894736842105,"EXP 4","GSH1"
"201","E",5,242,2705,214,11.18,"SbIII",35,"REF",36,2669,12.4719626168224,"EXP 4","GSH1"
"202","D",5,769,9281,662,12.07,"SbIII",25,"REF",267,9014,13.6163141993958,"EXP 4","GSH1"
"203","C",5,1089,14754,955,13.55,"SbIII",10,"REF",386,14368,15.0450261780105,"EXP 4","GSH1"
"204","B",5,1169,11233,953,9.609,"SbIII",0,"REF",333,10900,11.4375655823715,"EXP 4","GSH1"
"205","B",6,1650,14409,1297,8.733,"SbIII",0,"C85",333,14076,10.8527370855821,"EXP 4","GSH1"
"206","C",6,1588,19104,1306,12.03,"SbIII",10,"C85",386,18718,14.3323124042879,"EXP 4","GSH1"
"207","D",6,407,3505,334,8.612,"SbIII",25,"C85",267,3238,9.69461077844311,"EXP 4","GSH1"
"208","E",6,126,943,104,7.484,"SbIII",35,"C85",36,907,8.72115384615385,"EXP 4","GSH1"
"209","F",6,73,242,41,3.315,"SbIII",65,"C85",43,199,4.85365853658537,"EXP 4","GSH1"
"210","G",6,112,192,59,1.714,"SbIII",100,"C85",81,111,1.88135593220339,"EXP 4","GSH1"
"211","G",7,67,69,35,1.03,"SbIII",100,"C73",81,0,0,"EXP 4","GSH1"
"212","F",7,53,71,24,1.34,"SbIII",65,"C73",43,28,1.16666666666667,"EXP 4","GSH1"
"213","E",7,90,504,66,5.6,"SbIII",35,"C73",36,468,7.09090909090909,"EXP 4","GSH1"
"214","D",7,358,3255,307,9.092,"SbIII",25,"C73",267,2988,9.7328990228013,"EXP 4","GSH1"
"215","C",7,1509,26124,1320,17.31,"SbIII",10,"C73",386,25738,19.4984848484848,"EXP 4","GSH1"
"216","B",7,1249,16440,1067,13.16,"SbIII",0,"C73",333,16107,15.095595126523,"EXP 4","GSH1"
"217","B",8,1071,14366,921,13.41,"SbIII",0,"C76",333,14033,15.2366992399566,"EXP 4","GSH1"
"218","C",8,1232,19412,1061,15.76,"SbIII",10,"C76",386,19026,17.9321394910462,"EXP 4","GSH1"
