"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C67",13.2269230769231,102,"G",8,204,131,81,0.6422,"ANF","5",63,68,0.839506172839506,"EXP 2","GSH1",6.34694983827482,13.6059890931818
"C67p",4.73061224489796,289,"G",5,1670,1297,486,2.669,"ANF","5",264,1033,2.12551440329218,"EXP 2","PGPA",44.9310637451755,37.7008479863872
"C67p",4.73061224489796,290,"F",5,1869,3662,868,4.219,"ANF","3",387,3275,3.77304147465438,"EXP 2","PGPA",79.7579949344541,51.2310937518564
"C67p",4.73061224489796,291,"E",5,1285,2269,508,4.467,"ANF","1.2",102,2167,4.26574803149606,"EXP 2","PGPA",90.173275903066,58.1756856780522
"C67p",4.73061224489796,292,"D",5,1089,1833,373,4.914,"ANF","0.62",72,1761,4.72117962466488,"EXP 2","PGPA",99.80060466289,64.4944686867293
"C67p",4.73061224489796,293,"C",5,1566,3139,770,4.077,"ANF","0.15",355,2784,3.61558441558442,"EXP 2","PGPA",76.4295238842263,67.3971388562914
"C67p",4.73061224489796,294,"B",5,1097,4222,735,5.744,"ANF","0",745,3477,4.73061224489796,"EXP 2","PGPA",100,100
"C68",0.238532110091743,295,"B",6,493,797,218,3.656,"ANF","0",745,52,0.238532110091743,"EXP 2","PGPA",100,100
"C68",0.238532110091743,296,"C",6,771,3149,425,7.409,"ANF","0.15",355,2794,6.57411764705882,"EXP 2","PGPA",2756.07239819005,975.066655368435
"C68",0.238532110091743,297,"D",6,750,1298,311,4.174,"ANF","0.62",72,1226,3.94212218649518,"EXP 2","PGPA",1652.65891664606,587.038187958899
"C68",0.238532110091743,298,"E",6,693,1451,253,5.735,"ANF","1.2",102,1349,5.33201581027668,"EXP 2","PGPA",2235.34508969292,779.608734172128
"C68",0.238532110091743,299,"F",6,1250,1888,453,4.168,"ANF","3",387,1501,3.31346578366446,"EXP 2","PGPA",1389.10680930549,476.090243420776
"C68",0.238532110091743,300,"G",6,649,282,132,2.136,"ANF","5",264,18,0.136363636363636,"EXP 2","PGPA",57.167832167832,25.478735018354
"C7",12.4151785714286,103,"G",9,232,353,133,1.522,"ANF","5",63,290,2.18045112781955,"EXP 2","GSH1",17.5627850640625,19.1807517815052
"C7",12.4151785714286,104,"F",9,446,731,253,1.639,"ANF","3",285,446,1.76284584980237,"EXP 2","GSH1",14.1991179559773,26.8391362447684
"C7",12.4151785714286,105,"E",9,337,1109,247,3.291,"ANF","1.2",75,1034,4.18623481781376,"EXP 2","GSH1",33.7186838975289,46.7230500706117
"C7",12.4151785714286,106,"D",9,277,1115,188,4.025,"ANF","0.62",127,988,5.25531914893617,"EXP 2","GSH1",42.3297910593923,52.3632346804048
"C7",12.4151785714286,107,"C",9,296,1077,202,3.639,"ANF","0.15",158,919,4.54950495049505,"EXP 2","GSH1",36.6447000687123,54.1075704791361
"C7",12.4151785714286,108,"B",9,301,2781,224,9.239,"ANF","0",0,2781,12.4151785714286,"EXP 2","GSH1",100,100
"C73",18.6104417670683,109,"B",10,313,4634,249,14.81,"ANF","0",0,4634,18.6104417670683,"EXP 2","GSH1",100,100
"C73",18.6104417670683,110,"C",10,273,2119,221,7.762,"ANF","0.15",158,1961,8.87330316742081,"EXP 2","GSH1",47.6791646242507,47.4634826229472
"C73",18.6104417670683,111,"D",10,166,434,113,2.614,"ANF","0.62",127,307,2.71681415929204,"EXP 2","GSH1",14.5983324485049,28.0661110857118
"C73",18.6104417670683,112,"E",10,155,334,111,2.155,"ANF","1.2",75,259,2.33333333333333,"EXP 2","GSH1",12.5377643504531,22.0958906234408
"C73",18.6104417670683,113,"F",10,273,330,148,1.209,"ANF","3",285,45,0.304054054054054,"EXP 2","GSH1",1.63378203408415,15.1434602200462
"C73",18.6104417670683,114,"G",10,201,258,113,1.284,"ANF","5",63,195,1.72566371681416,"EXP 2","GSH1",9.27255644123274,14.2110140858167
"C76",7.43646565183452,67,"G",3,266,482,162,1.812,"ANF","5",63,419,2.58641975308642,"EXP 2","GSH1",34.7802285948617,20.7506006088576
"C76",7.43646565183452,68,"F",3,277,466,172,1.682,"ANF","3",285,181,1.05232558139535,"EXP 2","GSH1",14.1508833720727,33.9572185387116
"C76",7.43646565183452,69,"E",3,274,1127,207,4.113,"ANF","1.2",75,1052,5.08212560386473,"EXP 2","GSH1",68.3406048222788,45.9023643483449
"C76",7.43646565183452,70,"D",3,223,1099,167,4.928,"ANF","0.62",127,972,5.82035928143713,"EXP 2","GSH1",78.2678163786219,52.7092903172842
"C76",7.43646565183452,71,"C",3,263,1446,216,5.498,"ANF","0.15",158,1288,5.96296296296296,"EXP 2","GSH1",80.185443490779,56.3608577725607
"C76",7.43646565183452,72,"B",3,163,1142,112,7.006,"ANF","0",0,1142,10.1964285714286,"EXP 2","GSH1",137.11390664345,100
"C76",7.43646565183452,283,"B",4,1658,5024,915,5.491,"ANF","0",745,4279,4.67650273224044,"EXP 2","PGPA",62.8860933565501,100
"C76",7.43646565183452,284,"C",4,1404,4096,769,5.326,"ANF","0.15",355,3741,4.86475942782835,"EXP 2","PGPA",65.4176278838624,56.3608577725607
"C76",7.43646565183452,285,"D",4,1134,1485,361,4.114,"ANF","0.62",72,1413,3.91412742382271,"EXP 2","PGPA",52.6342432961702,52.7092903172842
"C76",7.43646565183452,286,"E",4,1506,1528,422,3.621,"ANF","1.2",102,1426,3.37914691943128,"EXP 2","PGPA",45.4402276247678,45.9023643483449
"C76",7.43646565183452,287,"F",4,1354,2760,579,4.767,"ANF","3",387,2373,4.09844559585492,"EXP 2","PGPA",55.1128155193437,33.9572185387116
"C76",7.43646565183452,288,"G",4,1202,378,233,1.622,"ANF","5",264,114,0.489270386266094,"EXP 2","PGPA",6.57934036373038,20.7506006088576
"C85",19.6266666666667,115,"G",11,146,115,66,0.7877,"ANF","5",63,52,0.787878787878788,"EXP 2","GSH1",4.0143280632411,15.1011454383485
"C85",19.6266666666667,116,"F",11,127,151,61,1.189,"ANF","3",285,0,0,"EXP 2","GSH1",0,11.5452616417155
"C85",19.6266666666667,117,"E",11,277,706,165,2.549,"ANF","1.2",75,631,3.82424242424242,"EXP 2","GSH1",19.4849308300395,32.0187244433508
"C85",19.6266666666667,118,"D",11,126,204,58,1.619,"ANF","0.62",127,77,1.32758620689655,"EXP 2","GSH1",6.76419602698649,29.2257432298412
"C85",19.6266666666667,119,"C",11,162,513,104,3.167,"ANF","0.15",158,355,3.41346153846154,"EXP 2","GSH1",17.3919575668896,41.321602511741
"C85",19.6266666666667,120,"B",11,193,2944,150,15.25,"ANF","0",0,2944,19.6266666666667,"EXP 2","GSH1",100,100
"REF",8.42367579803913,91,"G",7,226,167,90,0.7389,"ANF","5",63,104,1.15555555555556,"EXP 2","GSH1",13.7179490671347,22.2940124172225
"REF",8.42367579803913,92,"F",7,278,378,159,1.36,"ANF","3",285,93,0.584905660377358,"EXP 2","GSH1",6.94359178107867,33.9514017102264
"REF",8.42367579803913,93,"E",7,221,431,134,1.95,"ANF","1.2",75,356,2.65671641791045,"EXP 2","GSH1",31.5386831308119,40.6714986545115
"REF",8.42367579803913,94,"D",7,235,557,133,2.37,"ANF","0.62",127,430,3.23308270676692,"EXP 2","GSH1",38.3809014530156,53.9505061893108
"REF",8.42367579803913,95,"C",7,229,1712,163,7.476,"ANF","0.15",158,1554,9.53374233128834,"EXP 2","GSH1",113.177935142134,72.6800283542901
"REF",8.42367579803913,96,"B",7,245,2306,186,9.412,"ANF","0",0,2306,12.3978494623656,"EXP 2","GSH1",147.178616076981,100
"REF",8.42367579803913,277,"G",3,1448,1637,473,3.461,"ANF","5",264,1373,2.90274841437632,"EXP 2","PGPA",34.4594032815463,22.2940124172225
"REF",8.42367579803913,278,"F",3,1970,3373,676,4.99,"ANF","3",387,2986,4.41715976331361,"EXP 2","PGPA",52.4374378741148,33.9514017102264
"REF",8.42367579803913,279,"E",3,1990,3914,678,5.773,"ANF","1.2",102,3812,5.62241887905605,"EXP 2","PGPA",66.7454329185466,40.6714986545115
"REF",8.42367579803913,280,"D",3,1677,3743,587,6.376,"ANF","0.62",72,3671,6.25383304940375,"EXP 2","PGPA",74.2411412706496,53.9505061893108
"REF",8.42367579803913,281,"C",3,2027,5074,943,5.381,"ANF","0.15",355,4719,5.00424178154825,"EXP 2","PGPA",59.4068658567456,72.6800283542901
"REF",8.42367579803913,282,"B",3,1373,3873,703,5.509,"ANF","0",745,3128,4.44950213371266,"EXP 2","PGPA",52.8213839230187,100
"C44",11.1343930635838,139,"G",5,1563,1359,604,0.8695,"ANF","5",172,1187,1.96523178807947,"EXP 3","GSH1",17.6501024964438,18.2929720430927
"C44",11.1343930635838,140,"F",5,2093,1324,619,0.6326,"ANF","3",273,1051,1.69789983844911,"EXP 3","GSH1",15.2491458560258,22.617171603547
"C44",11.1343930635838,141,"E",5,1679,1626,578,0.9684,"ANF","1.2",468,1158,2.00346020761246,"EXP 3","GSH1",17.9934388535733,31.4670731799085
"C44",11.1343930635838,142,"D",5,2168,2023,590,0.9331,"ANF","0.62",364,1659,2.81186440677966,"EXP 3","GSH1",25.2538633288972,37.7542604774314
"C44",11.1343930635838,143,"C",5,2050,4064,921,1.982,"ANF","0.15",602,3462,3.75895765472313,"EXP 3","GSH1",33.7598792611085,46.7826372222298
"C44",11.1343930635838,144,"B",5,1948,15993,1384,8.21,"ANF","0",583,15410,11.1343930635838,"EXP 3","GSH1",100,100
"C58",7.85702479338843,175,"G",11,1676,665,373,0.3968,"ANF","5",172,493,1.32171581769437,"EXP 3","GSH1",16.8220904534573,18.7425500119238
"C58",7.85702479338843,176,"F",11,1618,605,333,0.3739,"ANF","3",273,332,0.996996996996997,"EXP 3","GSH1",12.6892433613797,16.991717410048
"C58",7.85702479338843,177,"E",11,1263,524,269,0.4149,"ANF","1.2",468,56,0.20817843866171,"EXP 3","GSH1",2.64958357821257,31.1486527627151
"C58",7.85702479338843,178,"D",11,1926,1303,449,0.6765,"ANF","0.62",364,939,2.0913140311804,"EXP 3","GSH1",26.6171239899893,45.8893676635664
"C58",7.85702479338843,179,"C",11,1924,2261,653,1.175,"ANF","0.15",602,1659,2.5405819295559,"EXP 3","GSH1",32.3351649811995,51.3172737782159
"C58",7.85702479338843,180,"B",11,2001,10090,1210,5.042,"ANF","0",583,9507,7.85702479338843,"EXP 3","GSH1",100,100
"C6",16.6331500392773,163,"G",9,1541,2393,793,1.553,"ANF","5",172,2221,2.80075662042875,"EXP 3","GSH1",16.8384017087267,14.038363725096
"C6",16.6331500392773,164,"F",9,1588,2949,889,1.857,"ANF","3",273,2676,3.01012373453318,"EXP 3","GSH1",18.0971357044523,20.744208950777
"C6",16.6331500392773,165,"E",9,1469,1784,595,1.214,"ANF","1.2",468,1316,2.21176470588235,"EXP 3","GSH1",13.2973291328433,48.3651573079312
"C6",16.6331500392773,166,"D",9,2029,4166,813,2.053,"ANF","0.62",364,3802,4.67650676506765,"EXP 3","GSH1",28.1155809574531,53.149346476579
"C6",16.6331500392773,167,"C",9,2353,6925,1291,2.943,"ANF","0.15",602,6323,4.89775367931836,"EXP 3","GSH1",29.4457373843972,53.8594736931689
"C6",16.6331500392773,168,"B",9,1640,21757,1273,13.27,"ANF","0",583,21174,16.6331500392773,"EXP 3","GSH1",100,100
"C67",10.8339324227175,169,"B",10,1868,15653,1391,8.38,"ANF","0",583,15070,10.8339324227175,"EXP 3","GSH1",100,100
"C67",10.8339324227175,170,"C",10,2124,2434,716,1.146,"ANF","0.15",602,1832,2.5586592178771,"EXP 3","GSH1",23.6170867423161,42.4281218649696
"C67",10.8339324227175,171,"D",10,2227,1650,537,0.7409,"ANF","0.62",364,1286,2.39478584729981,"EXP 3","GSH1",22.1044931227208,47.7370549418711
"C67",10.8339324227175,172,"E",10,1659,1153,479,0.695,"ANF","1.2",468,685,1.43006263048017,"EXP 3","GSH1",13.1998481685329,35.1595940309789
"C67",10.8339324227175,173,"F",10,1351,1376,562,1.019,"ANF","3",273,1103,1.9626334519573,"EXP 3","GSH1",18.115614675996,19.3381774625679
"C67",10.8339324227175,174,"G",10,898,537,283,0.598,"ANF","5",172,365,1.28975265017668,"EXP 3","GSH1",11.9047507391888,13.6059890931818
"C67p",6.28914141414141,319,"G",5,2897,104,85,1.224,"ANF","5",226,0,0,"EXP 3","PGPA",0,37.7008479863872
"C67p",6.28914141414141,320,"F",5,3741,1155,496,2.329,"ANF","3",439,716,1.44354838709677,"EXP 3","PGPA",22.9530279578527,51.2310937518564
"C67p",6.28914141414141,321,"E",5,2833,1154,364,3.17,"ANF","1.2",215,939,2.57967032967033,"EXP 3","PGPA",41.0178458361554,58.1756856780522
